OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,RMA,DIVIDED,STAT_DIV_NAME,lat,lng,geolocation_area,geolocation,postcode,locality,region
3401870,T20130013986,5/07/2013,17.30.00,Yes,Collision with vehicle,Friday,RIGHT NEAR (INTERSECTIONS ONLY),Dark No street lights,T intersection,Other injury accident,100 km/hr,146.32071000000002,-38.28256,Intersection,LATROBE,EASTERN REGION,4,1,0,0,1,3,0,2,2,0,0,0,0,0,1,0,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-38.283,146.321,-38.3;146.3,-38.283;146.321,,,
3401878,T20130014009,5/07/2013,21.05.00,Yes,Collision with a fixed object,Friday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Serious injury accident,80 km/hr,145.7217,-37.72149,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Metro,-37.721,145.722,-37.7;145.7,-37.721;145.722,,,
3401885,T20130014020,6/07/2013,12.30.00,No,Vehicle overturned (no collision),Saturday,OFF CARRIAGEWAY TO LEFT,Day,Not at intersection,Other injury accident,80 km/hr,145.05802,-37.30128,Non-Intersection,MITCHELL,NORTHERN REGION,3,1,0,0,1,2,0,0,3,0,0,0,0,0,0,3,No,0,3,0,2,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.301,145.058,-37.3;145.1,-37.301;145.058,,,
3401895,T20130013800,3/07/2013,12.12.00,No,Collision with vehicle,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,50 km/hr,145.48831,-38.06346,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,No,0,3,0,3,0,0,SMALL_CITIES,Local Road,Undivided,Metro,-38.063,145.488,-38.1;145.5,-38.063;145.488,,,
3401915,T20130014227,9/07/2013,08.20.00,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),Day,T intersection,Fatal accident,100 km/hr,143.87403,-37.4521,Intersection,HEPBURN,WESTERN REGION,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-37.452,143.874,-37.5;143.9,-37.452;143.874,,,
3401916,T20130014228,8/07/2013,08.25.00,No,Collision with vehicle,Monday,RIGHT FAR (INTERSECTIONS ONLY),Day,T intersection,Other injury accident,60 km/hr,142.03333,-37.75143,Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,3,1,0,0,1,2,0,1,2,0,0,0,0,0,0,2,No,0,2,0,2,0,0,TOWNS,Local Road,Undivided,Country,-37.751,142.033,-37.8;142.0,-37.751;142.033,,,
3401919,T20130014235,8/07/2013,11.20.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,100 km/hr,144.77754,-36.287209999999995,Non-Intersection,CAMPASPE,NORTHERN REGION,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,No,0,2,2,0,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-36.287,144.778,-36.3;144.8,-36.287;144.778,,,
3401921,T20130014237,9/07/2013,16.30.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Cross intersection,Other injury accident,70 km/hr,144.73497,-36.14051,Intersection,CAMPASPE,NORTHERN REGION,3,1,0,0,1,2,0,1,2,0,0,0,0,0,0,1,No,1,2,0,2,0,0,SMALL_CITIES,Arterial Highway,Divided,Country,-36.141,144.735,-36.1;144.7,-36.141;144.735,,,
3401932,T20130014056,6/07/2013,22.15.00,Yes,Collision with a fixed object,Saturday,OFF END OF ROAD/T-INTERSECTION.,Dark No street lights,T intersection,Other injury accident,100 km/hr,145.98033999999998,-36.69597,Intersection,BENALLA,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-36.696,145.980,-36.7;146.0,-36.696;145.980,,,
3401933,T20130014057,6/07/2013,20.00.00,Yes,Vehicle overturned (no collision),Saturday,OFF CARRIAGEWAY ON LEFT BEND,Dark No street lights,Not at intersection,Other injury accident,80 km/hr,145.56577,-37.787859999999995,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Metro,-37.788,145.566,-37.8;145.6,-37.788;145.566,,,
3401948,T20130014096,7/07/2013,15.28.00,No,Collision with a fixed object,Sunday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,T intersection,Fatal accident,100 km/hr,145.44401000000002,-37.23424,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-37.234,145.444,-37.2;145.4,-37.234;145.444,,,
3401958,T20130014118,8/07/2013,07.35.00,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),Day,Not at intersection,Other injury accident,100 km/hr,142.85536000000002,-38.28626,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-38.286,142.855,-38.3;142.9,-38.286;142.855,,,
3401972,T20130014147,8/07/2013,12.25.00,No,Collision with vehicle,Monday,RIGHT REAR.,Day,T intersection,Serious injury accident,100 km/hr,145.08688999999998,-37.46076,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,No,1,2,0,2,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Metro,-37.461,145.087,-37.5;145.1,-37.461;145.087,,,
3401979,T20130014171,8/07/2013,18.20.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),Dark Street lights on,Multiple intersection,Serious injury accident,60 km/hr,145.51328999999998,-37.66259,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,3,1,0,1,0,2,0,1,2,0,0,0,0,0,0,1,No,0,2,0,2,0,0,TOWNS,Arterial Highway,Undivided,Metro,-37.663,145.513,-37.7;145.5,-37.663;145.513,,,
3401980,T20130014172,8/07/2013,17.30.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,144.60615,-37.0382,Non-Intersection,MITCHELL,NORTHERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,1,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.038,144.606,-37.0;144.6,-37.038;144.606,,,
3401995,T20130014210,6/07/2013,00.30.00,Yes,Vehicle overturned (no collision),Saturday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),Dark No street lights,Not at intersection,Serious injury accident,Not known,147.26383,-37.5377,Non-Intersection,WELLINGTON,EASTERN REGION,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.538,147.264,-37.5;147.3,-37.538;147.264,,,
3402005,T20130014312,9/07/2013,16.00.00,No,Vehicle overturned (no collision),Tuesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),Day,Not at intersection,Other injury accident,100 km/hr,145.64954,-37.30403,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.304,145.650,-37.3;145.6,-37.304;145.650,,,
3402016,T20130014329,10/07/2013,17.18.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,Cross intersection,Serious injury accident,60 km/hr,141.24103,-36.37897,Intersection,WEST WIMMERA,WESTERN REGION,2,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,No,0,2,1,1,0,0,SMALL_TOWNS,Arterial Highway,Undivided,Country,-36.379,141.241,-36.4;141.2,-36.379;141.241,,,
3402028,T20130014462,12/07/2013,19.30.00,Yes,Fall from or in moving vehicle,Friday,FELL IN/FROM VEHICLE,Dark Street lights on,Not at intersection,Other injury accident,50 km/hr,145.84856000000002,-38.131370000000004,Non-Intersection,BAW BAW,EASTERN REGION,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,TOWNS,Local Road,Undivided,Country,-38.131,145.849,-38.1;145.8,-38.131;145.849,,,
3402029,T20130014466,12/07/2013,23.02.00,Yes,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,146.04363999999998,-37.0445,Non-Intersection,MANSFIELD,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-37.044,146.044,-37.0;146.0,-37.044;146.044,,,
3402035,T20130014340,10/07/2013,23.55.00,Yes,Collision with vehicle,Tuesday,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,Dark Street lights on,Cross intersection,Other injury accident,80 km/hr,145.45526999999998,-38.06193,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,No,0,2,0,1,1,0,SMALL_CITIES,Arterial Other,Divided,Metro,-38.062,145.455,-38.1;145.5,-38.062;145.455,,,
3402037,T20130014343,11/07/2013,04.10.00,Yes,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Serious injury accident,100 km/hr,143.80213,-36.75777,Non-Intersection,LODDON,NORTHERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,1,0,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-36.758,143.802,-36.8;143.8,-36.758;143.802,,,
3402044,T20130014352,11/07/2013,07.20.00,No,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,100 km/hr,143.85695,-37.51392,Non-Intersection,BALLARAT,WESTERN REGION,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.514,143.857,-37.5;143.9,-37.514;143.857,,,
3402051,T20130014359,4/07/2013,14.30.00,No,collision with some other object,Thursday,STRUCK OBJECT ON CARRIAGEWAY,Day,Not at intersection,Serious injury accident,100 km/hr,141.07385,-35.86776,Non-Intersection,WEST WIMMERA,WESTERN REGION,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,Local Road,Undivided,Country,-35.868,141.074,-35.9;141.1,-35.868;141.074,,,
3402054,T20130014368,11/07/2013,09.45.00,No,Collision with vehicle,Thursday,RIGHT TURN SIDESWIPE,Day,Not at intersection,Other injury accident,100 km/hr,143.74557,-36.04164,Non-Intersection,LODDON,NORTHERN REGION,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-36.042,143.746,-36.0;143.7,-36.042;143.746,,,
3402065,T20130014392,11/07/2013,19.00.00,Yes,Collision with a fixed object,Thursday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,146.82162,-36.247890000000005,Non-Intersection,INDIGO,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-36.248,146.822,-36.2;146.8,-36.248;146.822,,,
3402084,T20130014250,9/07/2013,17.45.00,No,Vehicle overturned (no collision),Tuesday,OFF CARRIAGEWAY TO RIGHT,Dusk/Dawn,Not at intersection,Other injury accident,100 km/hr,142.13161000000002,-36.71359,Non-Intersection,HORSHAM,WESTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-36.714,142.132,-36.7;142.1,-36.714;142.132,,,
3402101,T20130014289,10/07/2013,08.30.00,No,No collision and no object struck,Wednesday,OFF CARRIAGEWAY ON RIGHT BEND,Day,Not at intersection,Serious injury accident,100 km/hr,142.95555,-38.47887,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-38.479,142.956,-38.5;143.0,-38.479;142.956,,,
3402121,T20130014467,12/07/2013,19.00.00,Yes,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Fatal accident,100 km/hr,142.88256,-37.18492,Non-Intersection,NORTHERN GRAMPIANS,WESTERN REGION,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-37.185,142.883,-37.2;142.9,-37.185;142.883,,,
3402124,T20130014473,13/07/2013,00.32.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark Street lights on,Cross intersection,Serious injury accident,60 km/hr,143.86151,-37.541740000000004,Intersection,BALLARAT,WESTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,Local Road,Undivided,Country,-37.542,143.862,-37.5;143.9,-37.542;143.862,,,
3402132,T20130014496,13/07/2013,11.30.00,No,Collision with a fixed object,Saturday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Serious injury accident,100 km/hr,144.7036,-36.75195,Non-Intersection,CAMPASPE,NORTHERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-36.752,144.704,-36.8;144.7,-36.752;144.704,,,
3402134,T20130014499,13/07/2013,12.40.00,No,Collision with vehicle,Saturday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,Cross intersection,Other injury accident,80 km/hr,144.20741,-37.5982,Non-Intersection,MOORABOOL,WESTERN REGION,3,1,0,0,1,2,0,1,2,0,0,0,0,0,0,2,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-37.598,144.207,-37.6;144.2,-37.598;144.207,,,
3402136,T20130014502,13/07/2013,11.00.00,No,No collision and no object struck,Saturday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),Day,Not at intersection,Other injury accident,100 km/hr,143.58219,-37.4648,Non-Intersection,PYRENEES,WESTERN REGION,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,Freeway,Divided,Country,-37.465,143.582,-37.5;143.6,-37.465;143.582,,,
3402147,T20130014530,13/07/2013,18.00.00,Yes,Collision with vehicle,Saturday,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,Dusk/Dawn,Not at intersection,Serious injury accident,100 km/hr,146.04745,-36.01679,Non-Intersection,MOIRA,NORTH EASTERN REGION,3,1,0,1,0,2,0,1,2,0,0,0,0,0,1,0,No,0,2,1,1,0,0,TOWNS,Arterial Highway,Undivided,Country,-36.017,146.047,-36.0;146.0,-36.017;146.047,,,
3402172,T20130014584,14/07/2013,13.30.00,No,Collision with vehicle,Sunday,LEFT NEAR (INTERSECTIONS ONLY),Day,T intersection,Serious injury accident,60 km/hr,144.26485,-36.71208,Intersection,BENDIGO,NORTHERN REGION,4,1,0,1,0,3,0,2,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,LARGE_PROVINCIAL_CITIES,Local Road,Undivided,Country,-36.712,144.265,-36.7;144.3,-36.712;144.265,,,
3402173,T20130014585,14/07/2013,16.00.00,Yes,Collision with a fixed object,Sunday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,70 km/hr,145.56691,-37.647040000000004,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,8,1,0,0,1,7,0,4,4,0,0,0,0,0,0,0,No,0,5,0,5,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Metro,-37.647,145.567,-37.6;145.6,-37.647;145.567,,,
3402180,T20130014603,13/07/2013,00.45.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,142.42395,-36.85606,Non-Intersection,HORSHAM,WESTERN REGION,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-36.856,142.424,-36.9;142.4,-36.856;142.424,,,
3402183,T20130014612,15/07/2013,07.55.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,Cross intersection,Other injury accident,80 km/hr,142.00935,-37.75768,Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,3,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-37.758,142.009,-37.8;142.0,-37.758;142.009,,,
3402184,T20130014614,15/07/2013,09.00.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,Cross intersection,Serious injury accident,50 km/hr,146.72397,-36.56085,Intersection,ALPINE,NORTH EASTERN REGION,2,1,0,1,0,1,0,0,2,0,0,0,0,0,1,0,No,0,2,0,2,0,0,TOWNS,Arterial Highway,Divided,Country,-36.561,146.724,-36.6;146.7,-36.561;146.724,,,
3402214,T20130014899,19/07/2013,08.55.00,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,100 km/hr,145.91871,-38.042359999999995,Non-Intersection,BAW BAW,EASTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-38.042,145.919,-38.0;145.9,-38.042;145.919,,,
3402219,T20130014906,19/07/2013,12.40.00,No,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Serious injury accident,50 km/hr,146.72736,-36.55683,Non-Intersection,ALPINE,NORTH EASTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,No,0,1,0,1,0,0,TOWNS,Local Road,Undivided,Country,-36.557,146.727,-36.6;146.7,-36.557;146.727,,,
3402223,T20130014916,19/07/2013,13.00.00,No,Collision with a fixed object,Friday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Other injury accident,100 km/hr,147.13484,-36.22312,Non-Intersection,TOWONG,NORTH EASTERN REGION,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-36.223,147.135,-36.2;147.1,-36.223;147.135,,,
3402225,T20130014779,15/07/2013,18.30.00,Yes,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Serious injury accident,100 km/hr,144.18472,-37.54942,Non-Intersection,MOORABOOL,WESTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-37.549,144.185,-37.5;144.2,-37.549;144.185,,,
3402253,T20130014838,17/07/2013,19.10.00,Yes,Struck animal,Wednesday,STRUCK ANIMAL,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,147.66716,-36.22394,Non-Intersection,TOWONG,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-36.224,147.667,-36.2;147.7,-36.224;147.667,,,
3402256,T20130014841,18/07/2013,13.00.00,No,Collision with vehicle,Thursday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,Not at intersection,Other injury accident,50 km/hr,144.95006,-37.28948,Non-Intersection,MITCHELL,NORTHERN REGION,3,1,0,0,1,2,0,0,3,0,0,0,0,0,0,1,No,0,3,0,3,0,0,TOWNS,Arterial Highway,Undivided,Country,-37.289,144.950,-37.3;145.0,-37.289;144.950,,,
