"            <div class=""geolocation"" data-lat=""-37.818486502251"" data-lng=""145.17626613378""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.384845407281"" data-lng=""142.53301620483""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Raglan Parade at the intersection of Raglan Parade and Mahoneys Road, Warrnambool","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.886689771244"" data-lng=""145.14551058411""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Waverley Road at the intersection of Waverley Road and Blackburn Road, Mount Waverley","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.850550151227"" data-lng=""144.98426288366""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Punt Road at the intersection of Punt Road and High Street, Prahran","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.876919762851"" data-lng=""145.23268908262""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    High Street Road at the intersection of High Street Road and Stud Road, Wantirna South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.87535305372"" data-lng=""145.09168535471""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Warrigal Road at the intersection of Warrigal Road and Batesford Road, Chadstone","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.864172"" data-lng=""145.060628""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Monash Freeway, Southbound approximately 470m south of High Street, Glen Iris","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.812296"" data-lng=""144.953907""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of King Street and La Trobe Street, West Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.834692715647"" data-lng=""144.99639049172""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Alexandra Avenue at the intersection of Alexandra Avenue and Church Street, South Yarra","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.030405402883"" data-lng=""144.43041086197""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Freeway, Avalon Road Bridge, Melbourne Bound, Lara","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.634388707411"" data-lng=""144.99328315258""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Northbound 65m south of O&#039;Herns Road, Epping - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.584154741827"" data-lng=""144.94399487972""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Northbound 66m south of Amaroo Road, Craigieburn - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.972525367501"" data-lng=""145.23810178041""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Endeavour Hills","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.972542282708"" data-lng=""145.23677140474""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Doveton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.817651678365"" data-lng=""144.98986065388""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hoddle Street at the intersection of Hoddle Street and Wellington Parade, East Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.758889432795"" data-lng=""144.99310076237""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    St Georges Road at the intersection of St Georges Road and Normanby Avenue, Thornbury","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.868848737364"" data-lng=""145.23499310017""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Burwood Highway at the intersection of Burwood Highway and Stud Road, Wantirna South","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.128335785904"" data-lng=""145.13394892216""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Frankston Freeway off ramp at the intersection of Frankston Freeway off ramp and Dandenong-Frankston Road, Seaford","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.128494028642"" data-lng=""145.13418093324""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dandenong-Frankston Road at the intersection of Dandenong-Frankston Road and Skye Road, Frankston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.807754905897"" data-lng=""145.02883180976""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Denmark Street at the intersection of Denmark Street and High Street South, Kew","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.098749973736"" data-lng=""144.35474574566""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    The Boulevard at the intersection of The Boulevard and Melbourne Road, Norlane","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.855475185673"" data-lng=""145.1138779521""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Highbury Road at the intersection of Highbury Road and Huntingdale Road, Mount Waverley","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.091617366572"" data-lng=""144.35633093119""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Sparks Road, Norlane","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.022193"" data-lng=""145.124242""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Wells Road at the intersection of Wells Road and Nurten Parade, Aspendale Gardens","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.019049"" data-lng=""145.118471""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Wells Road at the intersection of Wells Road and Palm Grove Boulevard, Aspendale Gardens","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.743615727993"" data-lng=""144.98927861452""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Gilbert Road at the intersection of Gilbert Road and Bell Street, Preston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.789895827461"" data-lng=""145.09954690933""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Doncaster Road at the intersection of Doncaster Road and Gardenia Road, Balwyn North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.813194"" data-lng=""144.951031""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    LaTrobe Street at the intersection of LaTrobe Street and Spencer Street, West Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.030599774054"" data-lng=""144.43081855774""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Freeway, Avalon Road Bridge, Geelong Bound, Avalon","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.207358636751"" data-lng=""145.06848156452""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Northbound 101m south of Broadford-Flowerdale Road, Broadford - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.207802975741"" data-lng=""145.06864786148""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Southbound 109m south of Broadford-Flowerdale Road, Broadford - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.93009188134"" data-lng=""145.13166636228""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Centre Road at the intersection of Centre Road and Buckland Street, Clayton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.981957105048"" data-lng=""144.53357934952""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Freeway, Point Wilson Road Bridge, Geelong Bound, Point Wilson","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.756875"" data-lng=""145.34706""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway, approximately 100 metres West of Hutchinson Street, Lilydale","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.692194"" data-lng=""144.951528""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Glenroy, Westbound, approximately 600 metres West of Sydney Road","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.692822"" data-lng=""144.940392""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Eastbound West of Sydney Road, Broadmeadows","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-37.90932728559"" data-lng=""145.08502006531""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Warrigal Road at the intersection of Warrigal Road and North Road, Oakleigh","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.025420239924"" data-lng=""145.30524820089""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Webb Street, Narre Warren","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.80744657062"" data-lng=""144.96875971556""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Exhibition Street at the intersection of Exhibition Street and Victoria Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.787505"" data-lng=""145.064898""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Burke Road at the intersection of Burke Road and Old Burke Road, Kew East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.874230930755"" data-lng=""145.16690254211""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Springvale Road at the intersection of Springvale Road and High Street Road, Glen Waverley","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.744531984672"" data-lng=""144.99735742807""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Bell Street at the intersection of Bell Street and St Georges Road, Preston","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.832823234762"" data-lng=""144.95184838772""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    City Road at the intersection of City Road and Montague Street, South Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.836077054249"" data-lng=""145.06202682853""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Seymour Grove at the intersection of Seymour Grove and Camberwell Road, Camberwell","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.703029"" data-lng=""145.089865""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Greensborough","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.703365"" data-lng=""145.089557""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Watsonia","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.805632558319"" data-lng=""144.94879335165""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    King Street at the intersection of King Street and Hawke Street, West Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.813824928261"" data-lng=""145.11562138796""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Elgar Road at the intersection of Elgar Road and Arnold Street, Box Hill","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.806094542316"" data-lng=""144.95961070061""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Elizabeth Street at the intersection of Elizabeth Street and Victoria Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.74494875045"" data-lng=""144.96580660343""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Munro Street at the intersection of Munro Street and Sydney Road, Coburg","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.81030471512"" data-lng=""144.95000168681""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Spencer Street and Dudley Street, West Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.806630694433"" data-lng=""145.20977497101""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    EastLink, Mullum Mullum Tunnel, approximately 600m prior to tunnel exit, Donvale","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
